CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b8p0	25	4	21	3	0	0
a0b9g8	25	13	12	4	0	0
a0b5p2	25	20	5	0	0	0
a0b8x5	25	1	9	23	0	0
a0b8t6	25	23	2	0	0	0
a0b6y7	25	25	0	2	1	0
a0a7f4	25	9	16	0	0	0
a0b9i0	25	20	5	0	0	0
a0b9l2	25	13	12	0	0	0
a0b6o9	24	19	5	0	0	0
a0b8p8	24	22	2	0	0	0
a0b9h2	24	19	5	1	0	0
a0b6u9	24	20	4	0	0	0
a0b9w4	24	5	18	13	0	0
a0a6z4	24	24	0	1	0	0
a0b7e3	24	23	1	2	0	0
a0b8s4	24	16	8	2	0	0
a0a9m4	23	21	2	1	0	0
a0b9q5	23	5	18	3	0	0
a0b8w9	23	23	0	1	0	0
a0b6v8	23	21	2	0	0	0
a0b6r4	23	16	7	3	0	0
a0b9q9	23	15	8	5	0	0
a0b6l3	23	23	0	1	0	0
a0b7i7	23	22	1	0	0	0
a0b5p7	22	14	8	0	0	0
a0b9q7	22	6	16	3	0	0
a0b9d8	22	20	2	0	0	0
a0a9o4	22	20	2	1	0	0
a0b9n3	22	12	10	0	0	0
a0b9p4	22	22	0	1	0	0
a0b7j0	22	18	4	1	0	0
a0c0a6	22	22	0	1	0	0
a0b5m4	21	12	9	1	0	0
a0b9b3	21	0	0	21	1	0
a0b5m2	21	15	6	1	0	0
a0c0i0	21	19	2	0	0	0
a0b9p7	21	0	1	20	0	0
a0b9e8	21	17	4	0	0	0
a0b5w2	21	21	0	0	0	0
a0b6l2	21	13	8	1	0	0
a0b8w4	21	20	1	1	0	0
a0b5r3	21	14	7	0	0	0
a0b7g4	21	18	3	0	0	0
a0b6q6	21	17	4	1	0	0
a0b5v9	21	16	5	0	0	0
a0b9t1	21	17	4	3	0	0
a0b7j5	21	19	2	0	0	0
a0b8p7	21	7	4	13	2	0
a0b9q2	20	4	12	13	0	0
a0c0f6	20	17	3	0	0	0
a0a7e6	20	16	4	3	0	0
a0b6f5	20	20	0	1	0	0
a0a9w2	20	18	2	0	0	0
a0b6r7	20	14	6	1	0	0
a0b6a5	20	0	1	19	0	0
a0b9h5	20	1	7	16	0	0
